Serial Number,Time,Temperature,Molar Ratio,Volume of H2SO4,QY,FWHM
Origin1,10h,150¡æ,400,3ml,21.83%,62nm
Origin2,10h,150¡æ,400,4ml,23.19%,64nm
Origin3,10h,150¡æ,600,3ml,15.86%,69nm
Origin4,10h,150¡æ,600,4ml,9.50%,74nm
Origin5,10h,170¡æ,400,3ml,10.91%,68nm
Origin6,10h,170¡æ,400,4ml,14.86%,58nm
Origin7,10h,170¡æ,600,3ml,15.76%,72nm
Origin8,10h,170¡æ,600,4ml,13.73%,85nm
Origin9,12h,150¡æ,400,3ml,14.44%,65nm
Origin10,12h,150¡æ,400,4ml,26.37%,76nm
Origin11,12h,150¡æ,600,3ml,9.73%,82nm
Origin12,12h,150¡æ,600,4ml,17.75%,87nm
Origin13,12h,170¡æ,400,3ml,9.44%,67nm
Origin14,12h,170¡æ,400,4ml,14.37%,64nm
Origin15,12h,170¡æ,600,3ml,16.60%,75nm
Origin16,12h,170¡æ,600,4ml,15.23%,71nm
Iterated1,10.91h,152.3¡æ,396.1,3.75ml,24.19%,57nm
Iterated2,9.02h,150.3¡æ,359.9,3.92ml,18.99%,58nm
Iterated3,8.40h,199.5¡æ,250.2,1.69ml,15.32%,64nm
Iterated4,9.15h,196.4¡æ,749.3,2.53ml,17.18%,55nm
Iterated5,10.68h,153.9¡æ,350.2,3.97ml,27.44%,45nm
Iterated6,10.41h,155.3¡æ,436.5,3.84ml,22.79%,44nm
Iterated7,10.78h,153.2¡æ,473.9,3.99ml,20.32%,53nm
Iterated8,10.93h,151.8¡æ,305.1,3.54ml,21.63%,48nm
Iterated9,11.78h,154.8¡æ,346.1,3.77ml,26.32%,38nm
Iterated10,10.68h,159.1¡æ,268.4,3.92ml,25.91%,52nm
Iterated11,8.79h,155.1¡æ,415.1,2.29ml,21.23%,40nm
Iterated12,8.29h,152.6¡æ,466.6,2.69ml,20.59%,51nm
Iterated13,9.75h,154.1¡æ,272.1,1.89ml,32.05%,29nm
Iterated14,10.49h,155.4¡æ,368.1,1.51ml,36.63%,31nm
Iterated15,11.84h,156.1¡æ,325.6,1.82ml,19.31%,47nm
Iterated16,11.85h,155.9¡æ,410.7,1.59ml,18.39%,48nm
Iterated17,10.01h,153.3¡æ,293.9,1.37ml,23.85%,41nm
Iterated18,9.67h,155.4¡æ,374.5,1.12ml,33.58%,61nm
Iterated19,10.04h,162.3¡æ,476.6,1.02ml,19.45%,36nm
Iterated20,8.36h,155.7¡æ,448.7,1.03ml,28.33%,36nm
