state,training_n,pool_size,seed,runtime_seconds,mean_poolwise_acquisition,mean_fixed_reference_score,relative_to_20000_reference_percent,nearest_distance_to_reference_top4_scaled,mean_pred_FWHM,mean_pred_PLQY_percent
cycle_1_start_n16,16,250,11,0.2517688999942038,0.8417511697523712,0.5139251105465665,89.07551678124376,0.6867459603978623,69.5115800029377,15.806920585144734
cycle_1_start_n16,16,250,22,0.20535770000424236,0.8564377179162125,0.5132539101223341,88.95918168995253,0.47947129925724424,69.0515574984695,15.591065729768976
cycle_1_start_n16,16,250,33,0.19326709999586456,0.8342524274583255,0.5379546006924242,93.24040230406962,0.5437249089443184,70.44030029637192,15.996151886474275
cycle_1_start_n16,16,500,11,0.3562789999996312,0.8535497496542896,0.5191868204711196,89.98749699210389,0.5328817373636484,69.77773392157661,15.56167048512475
cycle_1_start_n16,16,500,22,0.36938289999670815,0.8431895304228889,0.50935174839751,88.2828437078815,0.44130424229450477,70.11901295773018,15.596821963160181
cycle_1_start_n16,16,500,33,0.4346341000054963,0.8538925741442238,0.5197305847068705,90.08174434315305,0.4059647294177382,69.44227775287834,15.597439881382618
cycle_1_start_n16,16,1000,11,0.7381820000009611,0.7907215146708246,0.5288770547591127,91.6670464229856,0.24698438713294785,70.66499922764186,15.97529955241946
cycle_1_start_n16,16,1000,22,0.7438778999930946,0.7877573888976912,0.5558132281006367,96.33572968299146,0.5114855526144503,69.32517956879163,16.35943986585189
cycle_1_start_n16,16,1000,33,0.7056695999926887,0.8395806628306046,0.5341711468878939,92.584639244549,0.45723837721117827,70.61318605262201,15.999876278945308
cycle_1_start_n16,16,2000,11,1.768771299990476,0.8120732258411514,0.5751543709154716,99.68801244951948,0.3905444982239642,69.45459095371058,16.451293080621603
cycle_1_start_n16,16,2000,22,1.681284099991899,0.8371469256622774,0.5744703217418635,99.56945036256847,0.4771115115724804,70.05300482270702,16.550666445597706
cycle_1_start_n16,16,2000,33,1.699644399996032,0.8111208890995283,0.5472486749880472,94.85128773055801,0.37106041217158664,69.47198426628182,15.948718854978525
cycle_1_start_n16,16,5000,11,3.9216764999873703,0.8128486914148219,0.570067144112586,98.80627433797146,0.33038521302934065,69.34689628370143,16.41282523817487
cycle_1_start_n16,16,5000,22,3.604765600000974,0.8238771996668688,0.5338046756715704,92.52112101531759,0.6887497256027367,69.40620580813867,15.591998016556142
cycle_1_start_n16,16,5000,33,3.560038900002837,0.7915002600118475,0.5370301726991226,93.0801768168526,0.4129206358229297,70.03666395387538,15.923151679314989
cycle_1_start_n16,16,10000,11,7.477631499990821,0.799525441221226,0.5415020402466629,93.85525844761938,0.27374262417526013,68.5232882554733,16.257801686563493
cycle_1_start_n16,16,10000,22,7.359700100001646,0.8071823240469626,0.5621046400394709,97.42618188747576,0.3644852913678984,69.45106299242588,16.765785767016027
cycle_1_start_n16,16,10000,33,7.360326800000621,0.7897982016308263,0.5579896277068663,96.71295180284706,0.5625562235895765,70.06259244444735,16.15142002269543
cycle_1_start_n16,16,20000,11,15.4225895999989,0.8033279572093514,0.5836488582527417,101.1603103268393,0.2775989370933281,68.61467472264026,16.507989996353494
cycle_1_start_n16,16,20000,22,15.101959599996917,0.8064546123476788,0.5597700730130213,97.02154556970508,0.2811013462969698,68.88877560981136,16.294642069244496
cycle_1_start_n16,16,20000,33,15.304881399992155,0.8098819466242996,0.5580741329710756,96.72759858683503,0.41113204394292124,69.79219662059009,16.375021631101987
cycle_2_start_n20,20,250,11,0.15915410000889096,0.8249003224534298,0.5360249139195183,80.65600176081878,0.45836472377963566,66.90782435678133,18.7650654003081
cycle_2_start_n20,20,250,22,0.1543948000035016,0.8282017491923377,0.4436122101985135,66.75060482779017,0.4885997173929977,65.69834245072114,18.359647353492754
cycle_2_start_n20,20,250,33,0.19092490000184625,0.8293966179585252,0.4354817072304245,65.52720299574587,0.4752136220890062,65.10210786913461,17.309009713742103
cycle_2_start_n20,20,500,11,0.30578509999031667,0.8419640806227009,0.48019396233902545,72.25508379591137,0.4615018851749101,66.35831613485456,18.296488430966196
cycle_2_start_n20,20,500,22,0.3129465999954846,0.8233730097951317,0.48552308755039464,73.05696057676629,0.40532152389777565,64.19300171687435,18.936532295039438
cycle_2_start_n20,20,500,33,0.32591390000015963,0.8267936427738181,0.5848974766622439,88.00988663495515,0.4655392457805135,64.8043850575125,19.722863771516526
cycle_2_start_n20,20,1000,11,0.6570605000015348,0.8240278527316773,0.45893387777071903,69.0560656647617,0.4211741088776097,65.14708955202762,19.113576823810718
cycle_2_start_n20,20,1000,22,0.639071999990847,0.8088325235922218,0.5840376792511399,87.88051238442476,0.3588839159460472,63.05700929285294,19.387974219028376
cycle_2_start_n20,20,1000,33,0.6196491000009701,0.7715525125172626,0.5230152417294007,78.69842830513542,0.3971362643931886,63.096003842579485,18.950742512528056
cycle_2_start_n20,20,2000,11,1.759791699994821,0.8060317731345231,0.5378636592234257,80.93267890887371,0.435385549987213,63.248783623490326,19.45614999588326
cycle_2_start_n20,20,2000,22,1.4365389000013238,0.8074878534460095,0.5798951413823165,87.25718213807683,0.37685969639501454,63.85665894474881,20.196606754474832
cycle_2_start_n20,20,2000,33,1.3630681999929948,0.8069334798394978,0.6330600847223827,95.25694418699915,0.13026710890288845,65.08516377333586,21.630386370958597
cycle_2_start_n20,20,5000,11,3.3062118999951053,0.811973038239606,0.7316280543923384,110.08852781084157,0.0954478704214716,64.95074919201575,21.85436177533471
cycle_2_start_n20,20,5000,22,3.299550600000657,0.81059633949767,0.6823381318874968,102.67184255404766,0.08694487554329426,65.56663112622368,21.21772521286597
cycle_2_start_n20,20,5000,33,3.9261452999926405,0.8026023917163623,0.6828181314804452,102.74406839096062,0.10632884933034956,64.50754966357431,21.162510112531685
cycle_2_start_n20,20,10000,11,7.2403206000017235,0.7956508897435122,0.6907970446904773,103.94466041794688,0.0904278613688283,64.1917498060038,21.287302058249608
cycle_2_start_n20,20,10000,22,7.454939200004446,0.7709435513700964,0.6298367217070139,94.77192275181567,0.09113124310324348,65.09588277567715,21.26041533489638
cycle_2_start_n20,20,10000,33,7.170655000008992,0.7897447733118412,0.7281630230785029,109.56714239667039,0.10155456761446226,66.9554426200627,21.463942822714785
cycle_2_start_n20,20,20000,11,12.625840900000185,0.8065519316632943,0.7823390344809014,117.7190404849784,0.11072348285283518,65.60519657848147,22.659380276004033
cycle_2_start_n20,20,20000,22,11.047645600003307,0.7829300706672876,0.7002122026485147,105.36136508431966,0.13018175501802925,65.72559537271772,22.944145475060296
cycle_2_start_n20,20,20000,33,11.135599199988064,0.8302863816670008,0.7197485504839725,108.30101147854162,0.09485248452155981,66.53049363702269,21.386374937949682
cycle_3_start_n24,24,250,11,0.12855019999551587,0.8374910509320642,0.42529761091826235,70.90212758846991,0.1529827196621742,50.786279915123885,21.075396046709226
cycle_3_start_n24,24,250,22,0.13684920000378042,0.8399040432869173,0.35061895823033895,58.452315444964135,0.2822444911880223,52.33748014040138,19.287966524544625
cycle_3_start_n24,24,250,33,0.14978799999516923,0.83449299421264,0.32322907317704114,53.88609857746408,0.46579083881380323,49.9505714307003,17.803195377449804
cycle_3_start_n24,24,500,11,0.27144440000120085,0.8323307997521234,0.37325708225339915,62.22635770770119,0.3195040661204386,49.75506298088665,19.72817503487832
cycle_3_start_n24,24,500,22,0.29253350000362843,0.8479360958076239,0.3576063305870085,59.61719282405656,0.27761926911196344,50.003080102020036,18.995151121979568
cycle_3_start_n24,24,500,33,0.27547400000912603,0.8502899554101566,0.34104492686556614,56.85621150284348,0.21769721329512812,50.085270795277395,17.73617827727829
cycle_3_start_n24,24,1000,11,0.5525417000026209,0.8412550436753882,0.336505929547226,56.09950711813316,0.39169952298493327,49.271077677026135,17.99792510042418
