Serial_Number,target,prediction,expected_value_plus_sum_SHAP,absolute_reconstruction_error
1,FWHM,62.088,62.088000000000015,1.4210854715202004e-14
2,FWHM,63.898,63.89800000000001,7.105427357601002e-15
3,FWHM,69.972,69.97200000000002,2.842170943040401e-14
4,FWHM,75.122,75.12199999999999,1.4210854715202004e-14
5,FWHM,63.9,63.900000000000006,7.105427357601002e-15
6,FWHM,60.26,60.26000000000002,2.1316282072803006e-14
7,FWHM,71.72,71.71999999999997,2.842170943040401e-14
8,FWHM,79.566,79.56599999999997,2.842170943040401e-14
9,FWHM,66.228,66.22800000000001,1.4210854715202004e-14
10,FWHM,71.514,71.51400000000001,1.4210854715202004e-14
11,FWHM,78.668,78.66800000000002,1.4210854715202004e-14
12,FWHM,82.886,82.886,0.0
13,FWHM,65.876,65.87600000000003,2.842170943040401e-14
14,FWHM,65.082,65.08199999999998,1.4210854715202004e-14
15,FWHM,74.734,74.73399999999998,1.4210854715202004e-14
16,FWHM,75.076,75.076,0.0
17,FWHM,55.084,55.08400000000001,7.105427357601002e-15
18,FWHM,56.922,56.922,0.0
19,FWHM,55.774,55.77399999999999,1.4210854715202004e-14
20,FWHM,58.804,58.80400000000001,7.105427357601002e-15
21,FWHM,46.074,46.074000000000005,7.105427357601002e-15
22,FWHM,47.052,47.05199999999999,7.105427357601002e-15
23,FWHM,52.456,52.45599999999999,1.4210854715202004e-14
24,FWHM,48.498,48.498000000000005,7.105427357601002e-15
25,FWHM,43.818,43.818,0.0
26,FWHM,48.244,48.24399999999999,7.105427357601002e-15
27,FWHM,43.838,43.837999999999994,7.105427357601002e-15
28,FWHM,51.044,51.04400000000001,1.4210854715202004e-14
29,FWHM,36.274,36.27399999999999,1.4210854715202004e-14
30,FWHM,36.088,36.087999999999994,7.105427357601002e-15
31,FWHM,44.906,44.90599999999999,7.105427357601002e-15
32,FWHM,46.492,46.49199999999999,7.105427357601002e-15
33,FWHM,39.456,39.45599999999999,1.4210854715202004e-14
34,FWHM,50.924,50.924,0.0
35,FWHM,39.306,39.306000000000004,7.105427357601002e-15
36,FWHM,40.302,40.30199999999999,7.105427357601002e-15
