Serial_Number,target,feature,feature_label,feature_value,shap_value,unit
1,PLQY,Time,Time,10.0,0.551151,percentage points
1,PLQY,Temperature,Temperature,150.0,1.185578,percentage points
1,PLQY,Molar Ratio,Molar ratio,400.0,0.234223,percentage points
1,PLQY,H2SO4 Volume,H2SO4 amount,3.0,-1.449945,percentage points
2,PLQY,Time,Time,10.0,0.034968,percentage points
2,PLQY,Temperature,Temperature,150.0,1.259196,percentage points
2,PLQY,Molar Ratio,Molar ratio,400.0,0.806317,percentage points
2,PLQY,H2SO4 Volume,H2SO4 amount,4.0,0.335868,percentage points
3,PLQY,Time,Time,10.0,0.420307,percentage points
3,PLQY,Temperature,Temperature,150.0,-0.07549,percentage points
3,PLQY,Molar Ratio,Molar ratio,600.0,-4.996106,percentage points
3,PLQY,H2SO4 Volume,H2SO4 amount,3.0,-0.670942,percentage points
4,PLQY,Time,Time,10.0,-0.308008,percentage points
4,PLQY,Temperature,Temperature,150.0,-0.090855,percentage points
4,PLQY,Molar Ratio,Molar ratio,600.0,-6.317736,percentage points
4,PLQY,H2SO4 Volume,H2SO4 amount,4.0,-0.778853,percentage points
5,PLQY,Time,Time,10.0,0.286294,percentage points
5,PLQY,Temperature,Temperature,170.0,-4.944838,percentage points
5,PLQY,Molar Ratio,Molar ratio,400.0,-1.497842,percentage points
5,PLQY,H2SO4 Volume,H2SO4 amount,3.0,-1.649786,percentage points
6,PLQY,Time,Time,10.0,0.058152,percentage points
6,PLQY,Temperature,Temperature,170.0,-4.794005,percentage points
6,PLQY,Molar Ratio,Molar ratio,400.0,-0.932141,percentage points
6,PLQY,H2SO4 Volume,H2SO4 amount,4.0,0.213242,percentage points
7,PLQY,Time,Time,10.0,0.134,percentage points
7,PLQY,Temperature,Temperature,170.0,-1.865556,percentage points
7,PLQY,Molar Ratio,Molar ratio,600.0,-2.387821,percentage points
7,PLQY,H2SO4 Volume,H2SO4 amount,3.0,-0.735215,percentage points
8,PLQY,Time,Time,10.0,-0.151651,percentage points
8,PLQY,Temperature,Temperature,170.0,-1.703572,percentage points
8,PLQY,Molar Ratio,Molar ratio,600.0,-3.615711,percentage points
8,PLQY,H2SO4 Volume,H2SO4 amount,4.0,-0.665777,percentage points
9,PLQY,Time,Time,12.0,-1.802755,percentage points
9,PLQY,Temperature,Temperature,150.0,0.903513,percentage points
9,PLQY,Molar Ratio,Molar ratio,400.0,0.006732,percentage points
9,PLQY,H2SO4 Volume,H2SO4 amount,3.0,-2.271522,percentage points
10,PLQY,Time,Time,12.0,-0.536195,percentage points
10,PLQY,Temperature,Temperature,150.0,1.323031,percentage points
10,PLQY,Molar Ratio,Molar ratio,400.0,0.649898,percentage points
10,PLQY,H2SO4 Volume,H2SO4 amount,4.0,1.297034,percentage points
11,PLQY,Time,Time,12.0,-1.425963,percentage points
11,PLQY,Temperature,Temperature,150.0,-0.378102,percentage points
11,PLQY,Molar Ratio,Molar ratio,600.0,-4.715961,percentage points
11,PLQY,H2SO4 Volume,H2SO4 amount,3.0,-1.820485,percentage points
12,PLQY,Time,Time,12.0,0.196957,percentage points
12,PLQY,Temperature,Temperature,150.0,0.086458,percentage points
12,PLQY,Molar Ratio,Molar ratio,600.0,-5.398027,percentage points
